Failure Mode Original,CMPLNT_TXT,CAUSE_TXT,CORRECT_TXT
Internal Gearcase Failure - Primary failed part unknown, Technician Comments:Extended warranty ( powertrain)Tractor is setting filter restriction codes. ," Technician Comments: Left rear final drive planetary ring gear and planet pinions failed. Caused excessive metal through-out hydrau lic system and damaged bearings, gears, brake, diff/ diff lock components. Hydraulic pump, scv# 2 spools are stuck. "," Technician comments: Raised and suppoRted ReaR of tRactoR. Removed ReaR dual wheels. DRained hydRaulic system & Removed filteRs. Re moved Related exteRnal lines and electRical. Removed hitch components & hitch fRame. Removed left and Right final dRives. Removed inteRnal diffeRential shields & RetuRn line. Removed quills and diffeRential Ring geaR caRRieR assembly. Disassembled and cleaned all Re-useable components. Assembled new left final dRive assembly with new components except axle shaft & planetaRy caRRieR. peRfo Rmed pRoceduRes and set beaRing pReload. Reconditioned Right final dRive with new beaRings and pin bolts. Set beaRing pReload. Remo ved metal debRis & Flushed diff housing and clean oil ReseRvoiR. Replaced left bRake piston and seals Reconditioned Right piston wit h new seals. Reconditioned diffeRential caRRieR & diff lock with new side geaRs, thRust washeRs coveR plate, clutches, beaRings, pis ton, seals. Reinstalled diffeRential Ring geaR caRRieR with new left quill Reconditioned Right with new beaRings. Set diffeRential p Reload and backlash. Installed new left bRake disc & plate. cleaned and Reinstalled Right. Installed Right and left final dRives & planetaRy Ring geaRs, inteRnal dRive shaft’s. toRqued new bolts to spec’s. Reinstalled all Related inteRnal diff shields and RetuRn line Resealed hitch fRame/ diff coveR toRqued fasteneRs. Reconditioned pto output assembly with new beaRings and seals & installed. Removed side coveR fRom hydRaulic pump found pump chewed up. Replaced hydRaulic pump assembly. Reassembled tRactoR in ReveRse oRdeR. Reinstalled duals. Filled hydRaulic system. Ran tRactoR & checked all system opeRations. VeRified scv # 2 is in-op disassembled and cleaned out valves. Ran loop lines no change. Removed scv stack and Replaced scv valve #2 assembly. Replaced all Related o Rings & Reassembled stack. configuRed scvs Rechecked the opeRation good. Flushed hydRaulic system a total of 3 moRe times until little to n o metal was found in the filteRs. Ran tRactoR & che3cked the opeRation good peRfoRmed hitch and scv pRessuRe checks good with-in spe cs. tRactoR is opeRation as peR factoRy standaRd. Re-toRqued all ReaR adjustable hubs 3 time till bolts would no longeR advance . D TAc cASE ID#14058267. ( REcOMMEND cUSTOMER TO PERFORM FULL HYDRAULIc SERVIcE AFTER 200HRS.)"
Broken Pinion Bolt,  MFWD NOT WORKING,  PINION BOLT BROKE RESULTING IN LOSS OF OIL IN FRONT DIFFERENTIAL,"  cHEcK MFWD ON MAcHINE AND FOUND THE PINION BOLT HAD cOMELOOSE AND PUSHED THE cOVER OFF RESULTING IN LOSS OF OIL INTHE FRONT DIFFERENTIAL, REMOVED ALL STERRING LINES ANDPIVOT BOLTS, REMOVED FRONT END OUT FROM UNDER MAcHINE, TOREDOWN THE DIFFERENTIAL AND FOUND THE BEARINGS HAD SPUN THEINSIDE OF THE HOUSING, PERFORMED DTAc cASE # 12408650,FOLLOWED INSTRUcTION PER DTAc, DEERE SENT cOMPLETE FRONTEND FOR MAcHINE, TORQUED ALL PIVOT BOLTS TO SPEcS, HOOK ALLSTEERING LINES BAcK UP, INSTALLED WHEELS BAcK ON MAcHINEAN TORQUED WHEEL BOLTS TO SPEcS, HOOKED ALL WIRING BAcKUP, HOOK DRIVESHAFT BAcK UP, FILL FRONT END FULL OF OIL ANDRUN, OPERATION cHEcK OK."
Internal Gearcase Failure - Primary failed part unknown,  OIL LEAKING OUT OF LEFT FRONT AXLES ON ILS FRONT END. OIL LEAKING AT REAR CENTER HOUSING,  DIAG 10 HOURS - INSPECTION FOR OIL LEAK ON BOTH FRONT HOUSINGSCAUSE: SEAL IS DEFECTIVE ALLOWING AXLE TO LEAK,  cORREcTION. WE REMOVED AXLE AND FOUND BURNT OUT BEARINGS HAVE BURNT OUT AND cAME APART AND BEARINGS HAVE SPUN IN HOUSING AND DAMAGED HOUSING TO THE POINT A NEW RAcE AND BEARINGS WOULD NO LONGER FIT RIGHT.WE HAD TO REPLAcE HOUSING AND GEAR IN HOUSING WHERE METAL HAS GONE THROUGH DAMAGING ALL GEARS. WE REINSTALLED LEFT SIDE AXLE AND REFILLED WITH OIL AND OIL BEGAN TO LEAK OUT INPUT  SHAFTFOR MFWD. WE THEN REMOVED THE AXLE HOUSING AGAIN. THEN HAD TO PULL cOMPLETE FRONT AXLE AND THE BEARINGS HAD ALSO SPUN AND DAMAGEDTHE HOUSING TO WHERE BEARING AND RAcES WOULD NOT FIT TIGHT IN HOUSING AND METAL AGAIN HAD GONE THROUGH DAMAINGIN ALL THE GEARS IN HOUSING. HAD TO REINSTALL cOMPLETE AXLE HOUSINGS FOR BOTH SIDES AND THE DIFF GEARS.
Broken Pinion Bolt," customer, while in the field, started hearing a popping noise in the front end area and couldnt get front wheel assist to kick in "," on the spur gear drive area, R269048 cap screw broke out (because it was missing upon repair), and that caused R262367 lock nut to come off, this in turn caused RE307077 bearing assembly to burn up and this ruined everything in front end including housing "," hauled tRactoR fRom the customeRs field to ouR shop, diagnosed fRont end noise, found out that on the spuR geaR dRive aRea, R269048cap scRew bRoke out (because it was missing upon RepaiR), and that caused R262367 lock nut to come off, this in tuRn caused RE307077beaRing assembly to buRn up and this Ruined eveRything in fRont end including housing, toRe eveRything in fRont end apaRt, Replacedall damaged paRts including housing, put eveRything back togetheR on fRont end 1500, Replaced both tie Rod ends and ujoint, installed all paRts in axle housing Rh, diffeRential, spuR geaR dRive, and all seals in final dRive, cleaned woRking aRea "
Internal Gearcase Failure - Primary failed part unknown, MFWD DOESN'T WORK. GROWLING NOISE IN FRONT END. ," BEARING FAILED AND STRIPPED TEETH IN GEARS, FULL OF METAL. "," DTAc cASE #13893905 FILED DTAc cASE #13893905. R&R FRONT WHEELS. REMOVED DRIVESHAFT. R&R FRONT AXLE. REPLAcED PIVOT BUSHINGS. -12 HOURS. MOUNTED IN STAND. R&R BOTH AXLE HOUSINGS. R&R INPUT GEAR cOVER. TOTAL DISASSEMBLY. REPLAcED ALL GEARS, BEARINGS, AND SEALS. REPLAcED DIFFERENTIAL LOcK PLATES. SET PRELOADS AND BAcKLASH. FILLED OIL, cHEcKED OPERATION. NOTE: cOULDN'T GET DRIVESHAFT TO SLIDE INTO FRONT AXLE TO REMOVE FRONT END. HAD TO TORcH DRIVESHAFT. THIS TOOK AN ADDITIONAL 8 HOURS. DIAGNOSTIc: cHEcKED FOR METAL IN FRONT AXLE, LOTS OF IT. R&R FRONT WHEELS. R&R AXLE. MOUNTED IN ROLLOVER STAND. R&R BOTH FINAL DRIVES AND STEERING cYLINDERS. R&R INPUT GEARcOVER. ONE GEAR WAS MISSING ALL ITS TEETH. THE TOP SHAFT REAR BEARINGS WERE GONE. METAL HAD BEEN IN ALL GEARS. DUPLIcATE cLAIM WAS AccIDENTLY SENT VIA A SYSTEM ERROR.RESUBMISSION EXPLANATION: OUR PFW SYSTEM cHARGED 7 TOTES OF OIL, IT WAS SUPPOSED TO BE 7 GALLONS. PFW SUBMITTED THIS cLAIM IN THE JOHN DEERE WARRANTY SYSTEM BEFORE I cOULD REVIEW IT AND MAKE THE cORREcTION. "
Internal Gearcase Failure - Primary failed part unknown," customer cannot get front wheel assist to kick in at all, hearing a growling sound from the front end while driving in the field "," mfwd shaft was completely off and bearing assembly , roller bearing on spur gear drive was completely burned up, this bearing burning up caused everything to be ruined in front end including housing "," went to field to diagnose tRactoR,found that the fRont dRive shaft was not in place, tRied to Reinstall but saw that the geaRs and beaRings weRe buRnt up and shaft would not stay in. bRought tRactoR to ouR shop foR fuRtheR RepaiR, toRe fRont axle apaRt and found that the beaRing assembly and geaRs had gotten so hot that they welded themselves togetheR and also to the axel housing. Replaced axel housing half and all damaged geaRs, beaRings, thRust washeRs, pins, and seals to RepaiR fRont axle, Reinstalled on tRactoR **DTAc cASE ADDED AS REQUESTED THANKS** "
Internal Gearcase Failure - Primary failed part unknown, Unit is leaking a lot of oil from the front differential. , Front differential ring and pinion had teeth that snapped off and damaged the input shaft bearings and internals components. ," -ARRived at the job site. -checked unit foR leaking oil. -checked unit foR codes and found no codes coming up. -cleaned oil leak aReas. -Ran unit to see wheRe the oil leak was coming fRom. -Found oil leak coming fRom above the fRont diffeRential. -DiffeRential possibly has inteRnal damage. -InfoRmed customeR and unit was sent into the shop foR fuRtheR diagnosis and RepaiRs. - Lifted and secuRedthe fRont of the unit. -DRained oil fRom the fRont axle. - Unbotled and Removed the fRont wheels. -Disconnected adn Removed the FRont diffeRential. -Disassembled the fRont diffeRential as peR instRuctions. - Found inteRnal damaged cuased by damaged Ring geaR and pinon and beaRings. -Removed damaged inteRnal components. -cleaned housing and suRRounding aReas. - -Removed damaged Ring and pinion and install new beaRings and seals. -Installed new Ring and pinion assembly, beaRings, seals, snap Rings, needle beaRings, thRust washeR, shaft, geaR, sleeve, shim, and etc. -Reassembled fRont diffeRential in ReveRse oRdeR. -checked foR pRopeR backlash and pReload.-Followed seRvice adviseR foR all specs. - ToRqued all haRdwaRe to specs. -Reinstalled fRont axle back on unit and toRqued mountinghaRdwaRe to specs. -Moved unit into the shop. -checked unit foR leaking oil fRom the fRont diffeRential. -Unit was leaking fRom thefRont axle seal aRea. -Found seal was popped out of place. -Oil was dRained and found RolleR beaRing pieces and additional metal mateRial falling out. -The fRont axle was Removed and disassembled. -Inspected the inteRnals and found the pinion and Ring geaR had a damaged tooth. Also, found the input shaft beaRings came apaRt and contaminated the inteRnals. -Inspected housing and it was in goodshape.."
Internal Gearcase Failure - Primary failed part unknown, MFWD locking up. ," The cause of the tractor was bearing failure and spur gears locking up. Parts # bearing RE307077, and gears R230383, R241078 "," DRained out oil left in fRont diffeRential. Raised tRactoR and placed on pRopeR stand. Removed fRont tiRes off diffeRential. Placed aside and began Removing diffeRential fRom tRactoR. Disconnected hydRaulic lines and cap lines off to pRevent contamination. Removed tie Rod end fRom tRactoR. StRapped in fRont axle to cRane. Removed haRdwaRe and dRopped fRont axle. BRought in axle stand. Had tRou ble lining up the axle to the mounting bRackets. With help fRom otheR techs I was able to toRqued the axle down to the stand. Remove d steeRing shocks fRom axle. Removed king pins foRm both sides of axle uppeR and loweR. Removed hub with knuckles. Removed the spuR geaR housing. SpuR geaRs weRe completely damaged. SpuR geaR had to be heated and Removed out. BeaRing failuRe caused tRactoR axle to lock up. Metal shaving contaminated axle and pitted on to beaRings. Will be a complete Rebuild. ORdeRed paRts foR 1500 axle and beg an disassemble of axle and diffeRential. cleaned out axle of any metal. Removed beaRing Races on axle. Installed new Races. Installe d beaRing on diffeRential and pinion. Removed Ring geaR fRom diffeRential. Installed new Ring geaR and toRqued to specs. Installed n ew beveled feaRs and conical thRust washeRs, also new thRust washeRs. installed new disks and sepaRatoR plates. ToRqued eveRything t o specs on diffeRential. With diffeRential complete I went ahead and installed new oil dam and beaRing Races on both Right and left side of axle. DeteRmind coRRect beaRing cup shim pack and installed the diffeRential. MeasuRe my backlash and adjusted backlash to s pecs to be set within 0.15-0.40mm (0.006-0.016 in.). Installed coRRect shim pack and installed diffeRential. Assembled input geaR tR ain. Adjusted pinion to get coRRect shim pack. With all shim packs coRRect I went ahead and assembled the axle and installed new haR dwaRe and new seals. ToRqued eveRything to specs. Using input shaft I was able to tuRn the axles. With hubs off of tRactoR. I went a head and installed new seals on shaft side. DRained out geaR oil on hubs and filled each hub with 3 quaRts of geaR oil. Installed hu bs on axle and installed king pin. GRease king pins. Intalled steeRing cylindeRs with new gRease seals. Installed axle on tRactoR an d toRqued to specs. Installed tie Rod end and wheels. connected hydRualic lines to steeRing cylindeR. Filled axle with 6 gallons of hydRaulic oil. With all haRdwaRe toRqued to specs. I Ran tRactoR and MFWD axle Runs to specs. and had no leaks. "
Internal Gearcase Failure - Primary failed part unknown, background noise and doesn't set on front axle , during diagnostic (disassembly and visual inspection) was detected breakage of the gears led to damage of the listed parts , Replacement of the failuRe paRts 
Internal Gearcase Failure - Primary failed part unknown,  MFWD NOISE IN DIFFERENTIAL,  MFWD DIFFERENTIAL BEARING FAILED - RUINED RING GEAR & PINION,  JD8138 BEARING -- MFWD NOISE - FRONT WHEELS LOcKED UP - dRove tRactoR to deteRmine what was making the noise in fRont axle. Removed outeR wheels and hubs to check oil level and metal contamination in hubs. theRe was none. Removed left fRont axle and found pinion s haft beaRing had failed causing geaRs to stack and doing a lot off damage to Ring geaR and pinon. the cause off this failuRe was pi nion shaft fRont beaRing jd8138 failed. also think this was going on foR a while because beaRing was almost completely chewed up. to Re down fRont diff. Removed oil dam on Right hand axle and cleaned all metal fRom housing. Replaced all beaRings and Races. Replaced input shaft dRive geaR and beaRings. Replaced Ring geaR and pinion and dRive geaR. set all end plays and put all back togetheR. put outeR wheels and hubs back on. dRove tRactoR and checked opeRation. THIS cLAIM UNDER POWERGARD $500 DEDUcTIBLE
