,Failure Mode Original,CMPLNT_TXT,CAUSE_TXT,CORRECT_TXT,Concactenate,Filtered Concactenation,Ratio,Failure Mode,Failure Mode Classified,Classification Accuracy
1,Broken Pinion Bolt,  MFWD NOT WORKING,  PINION BOLT BROKE RESULTING IN LOSS OF OIL IN FRONT DIFFERENTIAL,"  cHEcK MFWD ON MAcHINE AND FOUND THE PINION BOLT HAD cOMELOOSE AND PUSHED THE cOVER OFF RESULTING IN LOSS OF OIL INTHE FRONT DIFFERENTIAL, REMOVED ALL STERRING LINES ANDPIVOT BOLTS, REMOVED FRONT END OUT FROM UNDER MAcHINE, TOREDOWN THE DIFFERENTIAL AND FOUND THE BEARINGS HAD SPUN THEINSIDE OF THE HOUSING, PERFORMED DTAc cASE # 12408650,FOLLOWED INSTRUcTION PER DTAc, DEERE SENT cOMPLETE FRONTEND FOR MAcHINE, TORQUED ALL PIVOT BOLTS TO SPEcS, HOOK ALLSTEERING LINES BAcK UP, INSTALLED WHEELS BAcK ON MAcHINEAN TORQUED WHEEL BOLTS TO SPEcS, HOOKED ALL WIRING BAcKUP, HOOK DRIVESHAFT BAcK UP, FILL FRONT END FULL OF OIL ANDRUN, OPERATION cHEcK OK.","  MFWD NOT WORKING   PINION BOLT BROKE RESULTING IN LOSS OF OIL IN FRONT DIFFERENTIAL   cHEcK MFWD ON MAcHINE AND FOUND THE PINION BOLT HAD cOMELOOSE AND PUSHED THE cOVER OFF RESULTING IN LOSS OF OIL INTHE FRONT DIFFERENTIAL, REMOVED ALL STERRING LINES ANDPIVOT BOLTS, REMOVED FRONT END OUT FROM UNDER MAcHINE, TOREDOWN THE DIFFERENTIAL AND FOUND THE BEARINGS HAD SPUN THEINSIDE OF THE HOUSING, PERFORMED DTAc cASE # 12408650,FOLLOWED INSTRUcTION PER DTAc, DEERE SENT cOMPLETE FRONTEND FOR MAcHINE, TORQUED ALL PIVOT BOLTS TO SPEcS, HOOK ALLSTEERING LINES BAcK UP, INSTALLED WHEELS BAcK ON MAcHINEAN TORQUED WHEEL BOLTS TO SPEcS, HOOKED ALL WIRING BAcKUP, HOOK DRIVESHAFT BAcK UP, FILL FRONT END FULL OF OIL ANDRUN, OPERATION cHEcK OK.",mfwd not working pinion bolt broke resulting in loss of oil in front differential check mfwd on machine and find pinion bolt had comeloose and pushed cover off resulting in loss of oil inthe front differential removed all sterring line andpivot bolt removed front end out from under machine toredown differential and find bearing had spun theinside of housing performed dtac case 12408650 followed instruction per dtac deere sent complete frontend for machine torqued all pivot bolt to spec hook allsteering line back up installed wheel back on machinean torqued wheel bolt to spec hooked all wiring backup hook driveshaft back up fill front end full of oil andrun operation check ok,0.0,0,False,0.2631578947368421
3,Broken Pinion Bolt," customer, while in the field, started hearing a popping noise in the front end area and couldnt get front wheel assist to kick in "," on the spur gear drive area, R269048 cap screw broke out (because it was missing upon repair), and that caused R262367 lock nut to come off, this in turn caused RE307077 bearing assembly to burn up and this ruined everything in front end including housing "," hauled tRactoR fRom the customeRs field to ouR shop, diagnosed fRont end noise, found out that on the spuR geaR dRive aRea, R269048cap scRew bRoke out (because it was missing upon RepaiR), and that caused R262367 lock nut to come off, this in tuRn caused RE307077beaRing assembly to buRn up and this Ruined eveRything in fRont end including housing, toRe eveRything in fRont end apaRt, Replacedall damaged paRts including housing, put eveRything back togetheR on fRont end 1500, Replaced both tie Rod ends and ujoint, installed all paRts in axle housing Rh, diffeRential, spuR geaR dRive, and all seals in final dRive, cleaned woRking aRea "," customer, while in the field, started hearing a popping noise in the front end area and couldnt get front wheel assist to kick in   on the spur gear drive area, R269048 cap screw broke out (because it was missing upon repair), and that caused R262367 lock nut to come off, this in turn caused RE307077 bearing assembly to burn up and this ruined everything in front end including housing   hauled tRactoR fRom the customeRs field to ouR shop, diagnosed fRont end noise, found out that on the spuR geaR dRive aRea, R269048cap scRew bRoke out (because it was missing upon RepaiR), and that caused R262367 lock nut to come off, this in tuRn caused RE307077beaRing assembly to buRn up and this Ruined eveRything in fRont end including housing, toRe eveRything in fRont end apaRt, Replacedall damaged paRts including housing, put eveRything back togetheR on fRont end 1500, Replaced both tie Rod ends and ujoint, installed all paRts in axle housing Rh, diffeRential, spuR geaR dRive, and all seals in final dRive, cleaned woRking aRea ",customer while in field start hear a popping noise in front end area and couldnt get front wheel assist to kick in on spur gear drive area r269048 cap screw break out because it be miss upon repair and that cause r262367 lock nut to come off this in turn cause re307077 bearing assembly to burn up and this ruin everything in front end include housing haul tractor from customers field to our shop diagnose front end noise find out that on spur gear drive area r269048cap screw break out because it be miss upon repair and that cause r262367 lock nut to come off this in turn cause re307077bearing assembly to burn up and this ruin everything in front end include housing tore everything in front end apart replacedall damage part include housing put everything back together on front end 1500 replaced both tie rod end and ujoint instal all part in axle housing rh differential spur gear drive and all seal in final drive clean work area,0.0,0,False,0.2631578947368421
10,Cracked Housing, broken housing of the gearbox , stuck gear and that led to damage of the internal parts and housing ,  Replacement, broken housing of the gearbox   stuck gear and that led to damage of the internal parts and housing    Replacement,broken housing of gearbox stick gear and that lead to damage of internal part and housing replacement,0.0,0,False,0.2631578947368421
12,Loose Bolt,  LEAKING LH AND RH HUB SEALS,  WHEEL NUT ON HUB HAS UNDONE ITSELF DUE TO NO LOCK BOLT,"  NOTE - KNUcKLE HOUSING R259482 AND PINION R310678 WERE NOT IN STOcK IN AUSTRALIA AT THE TIME OF THE FAILURE. WE cANNIBALIZED A STOcKMAcHINE TO REPAIR THIS MAcHINE HENcE WHY THERE IS A DOUBLE UP OF SEALS AND LABOUR.INSPEcTED LEAK, REMOVED LEFT HAND WHEEL & FOUNDHUB HAD FALLEN OFF WITH WHEEL. FOUND WHEEL NUT HAD cOME UNDONE. REMOVED cOMPLETE KNUcKLE HOUSING. DISASSEMBLED RIGHT HAND SIDE TO INSPEcT LEAK AT KNUcKLE HOUSING. PARTS N/A AT TIME OF REPAIR. REMOVED PARTS FROM STOcK MAcHINE. INSTALLED NEW SEAL ON NEW HUB SHAFT. INSTALLED HUB ASSEMBLY TO LEFT HAND SIDE. REPLAcED SEALS IN RIGHT HAND SIDE & REASSEMBLED RIGHT HAND HUB. TENSIONED & FILLED WITH OIL. INSTALLED NEW PARTS BAcK ONTO STOcK MAcHINE. REPLAcED HUB, WHEEL BEARINGS, ALL PLANETARY GEARS & INSTALLED NEW SEALS. ASSEMBLEDHUB. INSTALLED PINION SHAFT & TENSION PLANETARY GEARS BOTLS, FILLED WITH OIL & REINSTALLED WHEEL. ADJUSTED AXLE OIL LEVEL.","  LEAKING LH AND RH HUB SEALS   WHEEL NUT ON HUB HAS UNDONE ITSELF DUE TO NO LOCK BOLT   NOTE - KNUcKLE HOUSING R259482 AND PINION R310678 WERE NOT IN STOcK IN AUSTRALIA AT THE TIME OF THE FAILURE. WE cANNIBALIZED A STOcKMAcHINE TO REPAIR THIS MAcHINE HENcE WHY THERE IS A DOUBLE UP OF SEALS AND LABOUR.INSPEcTED LEAK, REMOVED LEFT HAND WHEEL & FOUNDHUB HAD FALLEN OFF WITH WHEEL. FOUND WHEEL NUT HAD cOME UNDONE. REMOVED cOMPLETE KNUcKLE HOUSING. DISASSEMBLED RIGHT HAND SIDE TO INSPEcT LEAK AT KNUcKLE HOUSING. PARTS N/A AT TIME OF REPAIR. REMOVED PARTS FROM STOcK MAcHINE. INSTALLED NEW SEAL ON NEW HUB SHAFT. INSTALLED HUB ASSEMBLY TO LEFT HAND SIDE. REPLAcED SEALS IN RIGHT HAND SIDE & REASSEMBLED RIGHT HAND HUB. TENSIONED & FILLED WITH OIL. INSTALLED NEW PARTS BAcK ONTO STOcK MAcHINE. REPLAcED HUB, WHEEL BEARINGS, ALL PLANETARY GEARS & INSTALLED NEW SEALS. ASSEMBLEDHUB. INSTALLED PINION SHAFT & TENSION PLANETARY GEARS BOTLS, FILLED WITH OIL & REINSTALLED WHEEL. ADJUSTED AXLE OIL LEVEL.",leaking lh and rh hub seal wheel nut on hub ha undone itself due to no lock bolt note knuckle housing r259482 and pinion r310678 were not in stock in australia at time of failure we cannibalize a stockmachine to repair this machine hence why there be a double up of seal and labour.inspected leak removed left hand wheel foundhub had fallen off with wheel found wheel nut had come undone removed complete knuckle housing disassembled right hand side to inspect leak at knuckle housing part n/a at time of repair removed part from stock machine installed new seal on new hub shaft installed hub assembly to left hand side replaced seal in right hand side reassembled right hand hub tensioned filled with oil installed new part back onto stock machine replaced hub wheel bearing all planetary gear installed new seal assembledhub installed pinion shaft tension planetary gear botls filled with oil reinstalled wheel adjusted axle oil level,1.0,Wheel Hub Bearing Failure,False,0.2631578947368421
13,Differential Bearing Vibration,  MFWD NOISE WHEN TURNING **POWERGARD WARRANTY**,  DIFFERENTIAL LIMITED SLIP SET TOO TIGHT AND POPS AND BANGS IN TIGHT TURN.,"  cHANGED DIFFERENTIAL OIL 1ST TO SEE IF NOISE GOES AWAY AND DOESNT. REMOVED RIGHT FRONT TIRE, FENDER, AXLE AND REMOVE DIFFERENTAL--DI SASSEMBLED DIFF AND LOOK AT LIMITED SLIP DISKS AND REASSEMBLED AND cHEcKED ENDPLAY-ENDPLAY WAS TOO TIGHT, REMOVED SHIMS AND ADJUSTED TO SPEc AND REASSEMBLED BAcK TOGETHER AND TEST DROVE. WORKS BETTER NOW.","  MFWD NOISE WHEN TURNING **POWERGARD WARRANTY**   DIFFERENTIAL LIMITED SLIP SET TOO TIGHT AND POPS AND BANGS IN TIGHT TURN.   cHANGED DIFFERENTIAL OIL 1ST TO SEE IF NOISE GOES AWAY AND DOESNT. REMOVED RIGHT FRONT TIRE, FENDER, AXLE AND REMOVE DIFFERENTAL--DI SASSEMBLED DIFF AND LOOK AT LIMITED SLIP DISKS AND REASSEMBLED AND cHEcKED ENDPLAY-ENDPLAY WAS TOO TIGHT, REMOVED SHIMS AND ADJUSTED TO SPEc AND REASSEMBLED BAcK TOGETHER AND TEST DROVE. WORKS BETTER NOW.",mfwd noise when turning powergard warranty differential limited slip set too tight and pop and bang in tight turn change differential oil 1st to see if noise go away and doesnt removed right front tire fender axle and remove differental di sassembled diff and look at limited slip disk and reassembled and check endplay-endplay wa too tight removed shim and adjusted to spec and reassembled back together and test drove work better now,0.0,0,False,0.2631578947368421
16,Differential Bearing Vibration,  GRINDING IN MFWD,"  TEST DROVE UNIT AND WAS ABLE TO HEAR NOISE IN MFWD. BROUGHT UNIT BACK IN SHOP, RAISED UNIT AND CHECKED MFWD. FOUND THE CONE BEARING INSIDE THE MFWD COVER HAD BROKEN, CAUSING THE FAILURE",  Loosen MFWD dRive shaft shield clamps and Remove shield.Disconnect batteRy gRound cable fRom ReaR of tRansmission.Remove MFWD sh aft snap Ring and slide shaft foRwaRd to disengage fRom MFWD clutch.Raise tRactoR and install JT05725 UniveRsal SuppoRt Stand unde R fRont of tRansmission.Remove wheels and fendeRs.Disconnect and plug steeRing hoses.Install lift stRaps thRough knuckle-spind le assembly and install JDG23 Lift Sling on hoist and attach stRaps to lift sling.Remove eight axle suppoRt cap scRews and loweR a xle fRom undeR tRactoR.Removed coveR and Replace damaged beaRings and Races.Assemble in ReveRse oRdeR.,"  GRINDING IN MFWD   TEST DROVE UNIT AND WAS ABLE TO HEAR NOISE IN MFWD. BROUGHT UNIT BACK IN SHOP, RAISED UNIT AND CHECKED MFWD. FOUND THE CONE BEARING INSIDE THE MFWD COVER HAD BROKEN, CAUSING THE FAILURE   Loosen MFWD dRive shaft shield clamps and Remove shield.Disconnect batteRy gRound cable fRom ReaR of tRansmission.Remove MFWD sh aft snap Ring and slide shaft foRwaRd to disengage fRom MFWD clutch.Raise tRactoR and install JT05725 UniveRsal SuppoRt Stand unde R fRont of tRansmission.Remove wheels and fendeRs.Disconnect and plug steeRing hoses.Install lift stRaps thRough knuckle-spind le assembly and install JDG23 Lift Sling on hoist and attach stRaps to lift sling.Remove eight axle suppoRt cap scRews and loweR a xle fRom undeR tRactoR.Removed coveR and Replace damaged beaRings and Races.Assemble in ReveRse oRdeR.",grinding in mfwd test drove unit and wa able to hear noise in mfwd brought unit back in shop raised unit and checked mfwd find cone bearing inside mfwd cover had broken causing failure loosen mfwd drive shaft shield clamp and remove shield.disconnect battery ground cable from rear of transmission.remove mfwd sh aft snap ring and slide shaft forward to disengage from mfwd clutch.raise tractor and install jt05725 universal support stand unde r front of transmission.remove wheel and fenders.disconnect and plug steer hoses.install lift strap through knuckle-spind le assembly and install jdg23 lift sling on hoist and attach strap to lift sling.remove eight axle support cap screw and lower a xle from under tractor.removed cover and replace damage bearing and races.assemble in reverse order,0.75,Wheel Hub Bearing Failure,False,0.2631578947368421
17,Broken Pinion Bolt,  Blocking of the final drive because of broken bolt in it,  Part RE556205 - the cap screw R171856 was torn and the planet pinion R228144 fell and blocked RE556205,"  Diagnostics and RepaiR - RepaiR of the final dRive. Assembly of seal RE299899, assembly of beaRing JD9152 on both sides of R239246, placing JD9083, assembly of geaR R217064 in the Ring geaR R229687 and fixation with R99673, fastening the nut R171858. AfteR that we made six Revolutions of the geaR and checked again the nut tightening. Next, fixation with bolt R91842, assembly of pinion R310678 and fixation with a snap Ring R286277.In RE556205 we assembly R332855, we placed the planet pinion R228144 and put the beaRings R121283 followed by R290736 and fasten bolts R171856, we placed seal R87047 and the planet pinion RE556205. We fixed the planet pinion R228144 in such a way as to close the geaR, we fastened the bolts 19M8011 and Refilled the geaR with oil to the contRol line.","  Blocking of the final drive because of broken bolt in it   Part RE556205 - the cap screw R171856 was torn and the planet pinion R228144 fell and blocked RE556205   Diagnostics and RepaiR - RepaiR of the final dRive. Assembly of seal RE299899, assembly of beaRing JD9152 on both sides of R239246, placing JD9083, assembly of geaR R217064 in the Ring geaR R229687 and fixation with R99673, fastening the nut R171858. AfteR that we made six Revolutions of the geaR and checked again the nut tightening. Next, fixation with bolt R91842, assembly of pinion R310678 and fixation with a snap Ring R286277.In RE556205 we assembly R332855, we placed the planet pinion R228144 and put the beaRings R121283 followed by R290736 and fasten bolts R171856, we placed seal R87047 and the planet pinion RE556205. We fixed the planet pinion R228144 in such a way as to close the geaR, we fastened the bolts 19M8011 and Refilled the geaR with oil to the contRol line.",blocking of final drive because of broken bolt in it part re556205 cap screw r171856 be tear and planet pinion r228144 fell and block re556205 diagnostics and repair repair of final drive assembly of seal re299899 assembly of bear jd9152 on both side of r239246 place jd9083 assembly of gear r217064 in ring gear r229687 and fixation with r99673 fasten nut r171858 after that we make six revolution of gear and check again nut tighten next fixation with bolt r91842 assembly of pinion r310678 and fixation with a snap ring r286277.in re556205 we assembly r332855 we place planet pinion r228144 and put bearing r121283 follow by r290736 and fasten bolt r171856 we place seal r87047 and planet pinion re556205 we fix planet pinion r228144 in such a way a to close gear we fasten bolt 19m8011 and refill gear with oil to control line,1.0,Broken Pinion Bolt,True,0.2631578947368421
18,Differential Bearing Vibration, CUSTOMER COMPLAINED OF MFWD MAKING NOISE IN FRONT END. , BEARING WORN ON RING AND PINION. ," Upon inspection tech dRove aRound and heaRd noise, pulled in shop and jacked fRont end up to tuRn tiRes and found that the Ring andpinion was knocking. Removed fRont axle fRom tRactoR and took it apaRt and found that a beaRing on the diffeRential caRRieR had gone out and caused it to walk oveR. Replaced all the beaRings in axle and shimmed it up and put it back tigetheR. put axle back undeR tRactoR and hooked it up. toRqued pinion bolt and put knock in plug in and filled it up with oil. hooked up steeRing lines and dRove it aRound. Tech then tested machine and found that it was woRking coRRectly and noise was gone. Machine fixed."," CUSTOMER COMPLAINED OF MFWD MAKING NOISE IN FRONT END.   BEARING WORN ON RING AND PINION.   Upon inspection tech dRove aRound and heaRd noise, pulled in shop and jacked fRont end up to tuRn tiRes and found that the Ring andpinion was knocking. Removed fRont axle fRom tRactoR and took it apaRt and found that a beaRing on the diffeRential caRRieR had gone out and caused it to walk oveR. Replaced all the beaRings in axle and shimmed it up and put it back tigetheR. put axle back undeR tRactoR and hooked it up. toRqued pinion bolt and put knock in plug in and filled it up with oil. hooked up steeRing lines and dRove it aRound. Tech then tested machine and found that it was woRking coRRectly and noise was gone. Machine fixed.",customer complained of mfwd making noise in front end bearing worn on ring and pinion upon inspection tech drove around and hear noise pull in shop and jack front end up to turn tire and find that ring andpinion be knock remove front axle from tractor and take it apart and find that a bearing on differential carrier have go out and cause it to walk over replace all bearing in axle and shimmed it up and put it back tigether put axle back under tractor and hook it up torqued pinion bolt and put knock in plug in and fill it up with oil hook up steer line and drive it around tech then test machine and find that it be work correctly and noise be go machine fix,0.0,0,False,0.2631578947368421
21,Differential Bearing Vibration, FRONT END NOISE , BEARING SEIZED AND DAMAGED SHIMS AND HOUSING ," R/R LEFT SIDE TIRES AND DUALS, R/R LEFT SIDE ILS LINKAGE, R/R PLANET DRIVE SHAFT, R/R RING GEAR cARRIER, REPLAcED BEARINGS, SHIMS, S ET UP AND REASSEMBLED, REFILL WITH OIL, BLEED ILS cYLINDER, STARTED AND RAN"," FRONT END NOISE   BEARING SEIZED AND DAMAGED SHIMS AND HOUSING   R/R LEFT SIDE TIRES AND DUALS, R/R LEFT SIDE ILS LINKAGE, R/R PLANET DRIVE SHAFT, R/R RING GEAR cARRIER, REPLAcED BEARINGS, SHIMS, S ET UP AND REASSEMBLED, REFILL WITH OIL, BLEED ILS cYLINDER, STARTED AND RAN",front end noise bearing seized and damaged shim and housing r/r left side tire and duals r/r left side il linkage r/r planet drive shaft r/r ring gear carrier replaced bearing shim s et up and reassembled refill with oil bleed il cylinder started and ran,0.0,0,False,0.2631578947368421
28,Cracked Hub, MFWD hub leaking oil. , Failure of MFWD hub ring gear and pinion gears. , Went to customeR and found Right fRont hub oil leak. Removed dual and found the inneR hub housing was cRacked. BRought tRactoR to shop. Removed inneR wheel and disassembled. Removed bRoken Ring geaR and pinion geaRs. Removed beaRings and seals. Installed new beaRings and seals. Installed new pinion and Ring geaR. Assembled into new hub housing. Installed on tRactoR and filled with oil. Test Ran and made suRe theRe weRe no leaks. Installed fRont wheels. , MFWD hub leaking oil.   Failure of MFWD hub ring gear and pinion gears.   Went to customeR and found Right fRont hub oil leak. Removed dual and found the inneR hub housing was cRacked. BRought tRactoR to shop. Removed inneR wheel and disassembled. Removed bRoken Ring geaR and pinion geaRs. Removed beaRings and seals. Installed new beaRings and seals. Installed new pinion and Ring geaR. Assembled into new hub housing. Installed on tRactoR and filled with oil. Test Ran and made suRe theRe weRe no leaks. Installed fRont wheels. ,mfwd hub leak oil failure of mfwd hub ring gear and pinion gear went to customer and find right front hub oil leak remove dual and find inner hub housing be crack brought tractor to shop removed inner wheel and disassemble remove broken ring gear and pinion gear remove bearing and seal instal new bearing and seal instal new pinion and ring gear assemble into new hub housing instal on tractor and fill with oil test ran and make sure there be no leak instal front wheel,1.0,Wheel Hub Bearing Failure,False,0.2631578947368421
